mo,budget,actual,variance
2019-01,603812.953125,615173.9583435059,-11361.00521850586
2019-02,652192.625,590465.6391143799,61726.98588562012
2019-03,594022.828125,645006.8185806274,-50983.99045562744
2019-04,694618.6875,662755.6780509949,31863.009449005127
2019-05,794389.671875,714067.6679344177,80322.00394058228
2019-06,700644.96875,627411.9792518616,73232.98949813843
2019-07,646331.890625,675708.9089927673,-29377.018367767334
2019-08,741765.453125,670482.4393043518,71283.0138206482
2019-09,625676.28125,630832.2976074219,-5156.016357421875
2019-10,3399223.0625,3409807.042678833,-10583.980178833008
2019-11,7373740.125,7560464.012615204,-186723.88761520386
2019-12,6038210.625,6193694.706993103,-155484.08199310303
2020-01,730872.734375,653756.7270126343,77116.00736236572
2020-02,567505.9375,615472.9170036316,-47966.97950363159
2020-03,755260.234375,600761.2284507751,154499.00592422485
2020-04,613722.265625,656604.2703056335,-42882.004680633545
2020-05,587600.328125,620596.3189468384,-32995.99082183838
2020-06,811294.625,640892.6402015686,170401.9847984314
2020-07,671128.046875,677471.0582351685,-6343.011360168457
2020-08,707092.328125,628075.3296546936,79016.9984703064
2020-09,805281.171875,659813.1792793274,145467.9925956726
2020-10,2475593.25,2455107.216770172,20486.03322982788
2020-11,6552380.875,6713277.836452484,-160896.96145248413
2020-12,7767075.125,7798512.007732391,-31436.882732391357
